oneway,fclass,miles,startlon,startlat,endlon,endlat
B,residential,0.05168061869,-97.5707789997,30.0818719997,-97.5713570002,30.0824290002
B,residential,0.50374089576,-97.6472505997,30.0664848999,-97.6414860003,30.061188
B,residential,3.81017688929,-97.5932469997,30.0201909998,-97.5457500002,30.0491269996
B,residential,0.4971128907,-97.5939073,30.1021293997,-97.5950809998,30.1067850001
B,unclassified,2.58454444734,-97.5607290002,30.1223330004,-97.5906451999,30.1051199
B,residential,0.04249276238,-97.6012726999,30.0703027,-97.6007475003,30.0707173001
B,residential,0.3450729004,-97.5439210004,30.1098959997,-97.5398519998,30.1134429996
B,residential,0.11233223404,-97.5690469998,30.1347219997,-97.570065,30.1333880003
B,residential,0.17012105845,-97.5680990002,30.1371429998,-97.5692550004,30.1349650001
B,residential,0.07419765762,-97.5505152001,30.1389581996,-97.5509762996,30.1379676997
B,residential,1.06334937066,-97.556687,30.1081239998,-97.5694899996,30.1126259997
B,residential,0.34084417829,-97.5693900003,30.1117149999,-97.5713849997,30.1079669998
B,residential,0.59794448105,-97.619189,30.0536309996,-97.6227559999,30.0455239998
B,residential,1.29157584141,-97.5939427998,30.0630739998,-97.6041391999,30.0765913002
B,residential,0.28333741051,-97.6015699996,30.0607909997,-97.5988900001,30.0574529996
B,residential,0.14711028198,-97.5908079997,30.0638889996,-97.5913840002,30.0659609998
B,residential,0.62181098765,-97.5506159997,30.1039679997,-97.5420830001,30.1087249997
B,residential,0.27368685094,-97.5793799997,30.1152710003,-97.5829240003,30.116455
B,residential,0.28648568799,-97.5512861997,30.1386945004,-97.5494320998,30.1404895004
B,residential,0.02584573118,-97.5518520001,30.1367119998,-97.5514660003,30.1365440001
B,residential,0.14046942865,-97.5501020003,30.1408193996,-97.5516103001,30.1393635996
B,residential,0.27752888662,-97.5459719996,30.1421509997,-97.5498583002,30.1432946999
B,service,1.65820515796,-97.6037799998,30.0600460004,-97.6160910001,30.0744950003
B,residential,0.38339451431,-97.6051730002,30.0660070001,-97.6045029999,30.0607349998
B,residential,0.13246706343,-97.5963839996,30.1079039996,-97.5948190003,30.1092630002
B,residential,0.03080815088,-97.5691249998,30.0803699997,-97.5687509997,30.0806770003
B,residential,0.44812551952,-97.5670300003,30.075638,-97.5691249998,30.0803699997
B,residential,0.06483089829,-97.5968509996,30.1034890001,-97.596099,30.1041659999
B,unclassified,1.23019813575,-97.6260216001,30.0899620004,-97.6117897001,30.1027978001
B,residential,0.04711513369,-97.5978133002,30.0671960999,-97.5972448001,30.0676687
B,residential,0.81838893317,-97.5497690002,30.1001350001,-97.5390840003,30.1073340003
B,residential,0.83969161044,-97.556687,30.1081239998,-97.5497690002,30.1001350001
B,residential,0.14046314491,-97.5693880003,30.1377679999,-97.5673622,30.1367479996
B,residential,0.17338840332,-97.5710610001,30.133871,-97.5684769996,30.1329820004
B,residential,0.60526652228,-97.5543870001,30.1360720997,-97.5481312997,30.1424509002
B,residential,0.33883818525,-97.5936670002,30.0705130002,-97.5887950004,30.0729520002
B,residential,0.13328698651,-97.5977040002,30.1090300002,-97.5961,30.110371
B,unclassified,0.23004419187,-97.5763999,30.1337387997,-97.5730279999,30.1321648998
B,residential,0.06679340912,-97.5961072998,30.0657597999,-97.5953113998,30.0664387997
B,residential,1.11261190644,-97.5826870002,30.0673449998,-97.5959660001,30.078213
B,residential,0.19387366293,-97.5861869997,30.1091713997,-97.5885289998,30.1111140001
B,residential,0.14253062788,-97.5648866002,30.1329565001,-97.5669710003,30.1339560004
B,residential,0.07909293655,-97.5485269996,30.1418239999,-97.5496910002,30.1423670996
B,residential,0.18706693624,-97.5491206997,30.0331881999,-97.5485386998,30.0356591996
B,residential,0.04204688631,-97.5945699996,30.1055630004,-97.5938709997,30.1056200004
B,residential,0.3174161123,-97.5431760002,30.0469530001,-97.5468430002,30.0436279996
B,residential,0.04696767638,-97.5659340002,30.1334579999,-97.5663369999,30.1328729999
B,secondary,10.7574350737,-97.4506919998,29.9605670004,-97.5678714996,30.0679425003
B,residential,2.90960648435,-97.5345099998,30.0849719997,-97.5457500002,30.0491269996
B,residential,0.20433596182,-97.5664509997,30.1347999997,-97.5638414001,30.1346522996
B,residential,0.03644635836,-97.5433120001,30.0730039999,-97.5433120001,30.0730039999
B,residential,0.73186297327,-97.5356920004,30.0809520004,-97.5433409997,30.073065
B,residential,0.35720497905,-97.5907190001,30.0675310003,-97.5856829999,30.0702200002
B,residential,0.51823360932,-97.5412460002,30.0351659997,-97.5472367,30.0308287997
B,residential,0.41667070663,-97.5589770004,30.0350410002,-97.5554641001,30.0300311002
B,residential,1.74909230273,-97.5428680004,30.0534290001,-97.521624,30.0392940003
B,residential,0.1397833471,-97.5527930003,30.1369489999,-97.5520290001,30.1364090002
B,residential,0.49327602364,-97.5673622,30.1367479996,-97.5661920004,30.1308530003
