oneway,fclass,miles,startlon,startlat,endlon,endlat,LINESTRING
F,motorway_link,0.0449030993222,-87.472615,33.17461,-87.472764,33.174635,"LINESTRING (-87.472615 33.17461, -87.472764 33.174635)"
F,motorway_link,0.394639568946,-87.4411817,33.1725744,-87.442449,33.172738,"LINESTRING (-87.4411817 33.1725744, -87.442449 33.172738)"
B,residential,0.0996126564009,-87.654991,33.302152,-87.654883,33.302284,"LINESTRING (-87.654991 33.302152, -87.654883 33.302284)"
B,service,0.0846341999745,-87.532288,33.17492,-87.531064,33.174847,"LINESTRING (-87.53228799999999 33.17492, -87.531064 33.174847)"
B,residential,0.0374318922048,-87.49258,33.174872,-87.492515,33.174774,"LINESTRING (-87.49258 33.174872, -87.492515 33.174774)"
B,residential,0.0299902691118,-87.61138,33.237904,-87.611394,33.23794,"LINESTRING (-87.61138 33.237904, -87.611394 33.23794)"
B,residential,0.0349727529564,-87.516139,33.198876,-87.516131,33.198807,"LINESTRING (-87.516139 33.198876, -87.516131 33.198807)"
B,residential,0.0229912164738,-87.555325,33.200255,-87.5553113,33.2003592,"LINESTRING (-87.555325 33.200255, -87.5553113 33.2003592)"
B,residential,0.0872703477329,-87.471628,33.205847,-87.471744,33.205799,"LINESTRING (-87.471628 33.205847, -87.471744 33.205799)"
F,residential,0.0521133044031,-87.549952,33.21403,-87.55007,33.213839,"LINESTRING (-87.549952 33.21403, -87.55007000000001 33.213839)"
B,residential,0.0393997320338,-87.551585,33.215195,-87.551681,33.215328,"LINESTRING (-87.551585 33.215195, -87.551681 33.215328)"
B,residential,0.0313292118647,-87.608472,33.352939,-87.608283,33.352944,"LINESTRING (-87.60847200000001 33.352939, -87.608283 33.352944)"
B,residential,0.0395438532279,-87.61469,33.354613,-87.614648,33.354492,"LINESTRING (-87.61469 33.354613, -87.614648 33.354492)"
B,residential,0.0571511453803,-87.616139,33.354776,-87.616429,33.354241,"LINESTRING (-87.616139 33.354776, -87.616429 33.354241)"
B,residential,0.140025481733,-87.521342,33.279778,-87.521306,33.279555,"LINESTRING (-87.521342 33.279778, -87.521306 33.279555)"
B,residential,0.0406384477266,-87.623303,33.249145,-87.623292,33.249204,"LINESTRING (-87.62330300000001 33.249145, -87.62329200000001 33.249204)"
B,residential,0.0671937668054,-87.599556,33.2819713,-87.59983,33.281931,"LINESTRING (-87.59955600000001 33.2819713, -87.59983 33.281931)"
B,residential,0.0633153357943,-87.599811,33.283389,-87.599659,33.283893,"LINESTRING (-87.599811 33.283389, -87.599659 33.283893)"
B,residential,0.0216376688986,-87.56596,33.10725,-87.565991,33.106937,"LINESTRING (-87.56596 33.10725, -87.565991 33.106937)"
B,residential,0.161053396049,-87.567626,33.10731,-87.567378,33.107306,"LINESTRING (-87.567626 33.10731, -87.56737800000001 33.107306)"
B,residential,0.0109520315588,-87.4923887,33.2819047,-87.492281,33.281771,"LINESTRING (-87.49238870000001 33.2819047, -87.49228100000001 33.281771)"
B,residential,0.336526261632,-87.4920477,33.2832282,-87.492194,33.283181,"LINESTRING (-87.4920477 33.2832282, -87.492194 33.283181)"
B,residential,0.0373066582202,-87.569365,33.282415,-87.569745,33.282321,"LINESTRING (-87.569365 33.282415, -87.569745 33.282321)"
B,residential,0.178098846774,-87.50029,33.167206,-87.500218,33.167234,"LINESTRING (-87.50029000000001 33.167206, -87.500218 33.167234)"
B,residential,0.0571615208747,-87.595731,33.282608,-87.595842,33.282367,"LINESTRING (-87.595731 33.282608, -87.595842 33.282367)"
B,service,0.0902871230806,-87.516122,33.168505,-87.516127,33.168653,"LINESTRING (-87.516122 33.168505, -87.516127 33.168653)"
B,residential,0.0866653323681,-87.605162,33.282904,-87.60544,33.282902,"LINESTRING (-87.60516200000001 33.282904, -87.60544 33.282902)"
B,service,0.170755144244,-87.495681,33.167493,-87.495681,33.167672,"LINESTRING (-87.495681 33.167493, -87.495681 33.167672)"
B,service,0.0556091965463,-87.5629836,33.223384,-87.5629734,33.22301,"LINESTRING (-87.5629836 33.223384, -87.5629734 33.22301)"
B,residential,0.0829860072895,-87.638219,33.170164,-87.638072,33.170105,"LINESTRING (-87.63821900000001 33.170164, -87.63807199999999 33.170105)"
B,residential,0.00725045038003,-87.419787,33.170097,-87.419736,33.170194,"LINESTRING (-87.419787 33.170097, -87.419736 33.170194)"
